eQTL_id,gene,tissue,distance_tss,lead_variant,beta,permutation_p,bh_permutation_p,discovery,consequence,lead_variant_type,lead_sv,lead_sv_caviar_prob,lead_sv_caviar_rank,h_sv,h_b,h_cis,sv_h_frac,composite
ENSG00000006744.14|Artery_Aorta,ENSG00000006744.14,Artery_Aorta,1464,LUMPY_BND_121913_1,-0.883635,7.2274e-06,0.00197093580659341,SV,NONCODING,SV,LUMPY_BND_121913_1,1.76412e-06,101,0.0257747,0.394247,0.420022,0.0613652,4.54697e-08
ENSG00000006744.14|Esophagus_Muscularis,ENSG00000006744.14,Esophagus_Muscularis,1464,LUMPY_BND_121913_1,-1.0789,0.000205654,0.0229389208571429,SV,NONCODING,SV,LUMPY_BND_121913_1,1.48026e-10,101,0.036138,0.378983,0.415121,0.0870541,5.34936e-12
ENSG00000006744.14|Muscle_Skeletal,ENSG00000006744.14,Muscle_Skeletal,1464,LUMPY_BND_121913_1,-0.692871,1.01805e-06,0.000185175859389313,SV,NONCODING,SV,LUMPY_BND_121913_1,0.0090021,11,0.0488377,0.359842,0.40868,0.119501,0.000439642
ENSG00000006744.14|Skin_Sun_Exposed_Lower_leg,ENSG00000006744.14,Skin_Sun_Exposed_Lower_leg,1464,LUMPY_BND_121913_1,-0.829563,2.20494e-06,0.000592004772941176,SV,NONCODING,SV,LUMPY_BND_121913_1,0.00183521,72,0.0323203,0.299216,0.331536,0.0974865,5.93145e-05
ENSG00000006744.14|Thyroid,ENSG00000006744.14,Thyroid,1464,LUMPY_BND_121913_1,-0.959203,0.000150533,0.0155126186410256,SV,NONCODING,SV,LUMPY_BND_121913_1,7.66717e-11,101,0.0777461,0.465523,0.543269,0.143108,5.96093e-12
ENSG00000006757.7|Cells_Transformed_fibroblasts,ENSG00000006757.7,Cells_Transformed_fibroblasts,-357972,GS_DUP_CNV_X_7530429_7537808,1.08479,0.000753618,0.0350566412727273,SV,NONCODING,SV,GS_DUP_CNV_X_7530429_7537808,0.139266,1,0.00423507,-0.024047,0.00423607,0.999764,0.000589801
ENSG00000006757.7|Muscle_Skeletal,ENSG00000006757.7,Muscle_Skeletal,-539857,GS_MIXED_CNV_X_7354624_7355923,1.04233,0.000483798,0.0374295223921569,SV,NONCODING,SV,GS_DUP_CNV_X_7530429_7537808,0.263235,1,-0.00588175,0.062235,0.062236,1.60679e-05,0.0
ENSG00000006757.7|Skin_Sun_Exposed_Lower_leg,ENSG00000006757.7,Skin_Sun_Exposed_Lower_leg,-993712,GS_DUP_CNV_X_6888395_6902068,0.999752,4.99621e-05,0.00819318605149701,SV,NONCODING,SV,GS_DUP_CNV_X_6888395_6902068,0.910241,1,0.0642849,0.032895,0.0971799,0.661504,0.0585148
ENSG00000006757.7|Whole_Blood,ENSG00000006757.7,Whole_Blood,-557583,GS_MIXED_CNV_X_7336698_7338197,0.973333,0.000292827,0.0216146339627329,SV,NONCODING,SV,GS_MIXED_CNV_X_7336698_7338197,0.43565,1,,,,,
ENSG00000009790.10|Whole_Blood,ENSG00000009790.10,Whole_Blood,5630,LUMPY_DUP_176481,-0.466449,3.93816e-06,0.00049006380565445,SV,CODING,SV,LUMPY_DUP_176481,0.00130427,46,0.169892,0.347827,0.517719,0.328155,0.000221585
ENSG00000010671.11|Artery_Aorta,ENSG00000010671.11,Artery_Aorta,47004,LUMPY_BND_174712_1,-0.319371,0.000606511,0.0720152008421053,SV,NONCODING,SV,LUMPY_BND_174712_1,0.0785513,1,0.14447,0.156821,0.301291,0.479503,0.0113483
ENSG00000011376.5|Whole_Blood,ENSG00000011376.5,Whole_Blood,794032,LUMPY_BND_7989_2,-0.707953,4.6624e-05,0.00445043868273092,SV,NONCODING,SV,LUMPY_BND_7989_2,0.364872,1,0.116432,0.115526,0.231958,0.501953,0.0424828
ENSG00000011405.9|Cells_Transformed_fibroblasts,ENSG00000011405.9,Cells_Transformed_fibroblasts,-33378,LUMPY_MEI_104124,-0.272111,0.000326356,0.0180323181408451,SV,NONCODING,SV,LUMPY_MEI_104124,0.0232177,7,0.135032,0.233375,0.368407,0.366529,0.00313513
ENSG00000011426.6|Esophagus_Mucosa,ENSG00000011426.6,Esophagus_Mucosa,11443,LUMPY_DEL_161321,-0.189346,0.000289757,0.0267768941732852,SV,NONCODING,SV,LUMPY_DEL_161321,0.000847193,46,0.0641378,0.261092,0.32523,0.197208,5.43371e-05
ENSG00000011426.6|Skin_Sun_Exposed_Lower_leg,ENSG00000011426.6,Skin_Sun_Exposed_Lower_leg,11443,LUMPY_DEL_161321,-0.360453,0.000293121,0.0338709354683544,SV,NONCODING,SV,LUMPY_DEL_161321,0.0246313,4,0.0925641,0.277715,0.370279,0.249985,0.00227997
ENSG00000012124.10|Lung,ENSG00000012124.10,Lung,41661,GS_DEL_CNV_19_35851825_35858386,-0.291436,0.000254381,0.0212772072418879,SV,NONCODING,SV,GS_DEL_CNV_19_35851825_35858386,0.00174284,12,-0.00352122,0.36104,0.361041,2.76977e-06,0.0
ENSG00000012963.9|Cells_Transformed_fibroblasts,ENSG00000012963.9,Cells_Transformed_fibroblasts,145382,LUMPY_BND_74798_2,-0.284618,0.00144319,0.058873147694974,SV,NONCODING,SV,LUMPY_BND_74798_2,0.0157292,13,0.0178702,0.442796,0.460666,0.0387921,0.000281084
ENSG00000013374.11|Artery_Aorta,ENSG00000013374.11,Artery_Aorta,19222,LUMPY_DEL_164315,0.54114,0.000238105,0.0341549923699422,SV,NONCODING,SV,LUMPY_DEL_164315,0.38713,1,0.12598,0.180195,0.306175,0.411464,0.0487706
ENSG00000013561.13|Thyroid,ENSG00000013561.13,Thyroid,-486504,LUMPY_BND_182059_1,-0.590815,0.00163494,0.0987842601716738,SV,NONCODING,SV,LUMPY_BND_182059_1,6.99477e-06,101,0.0719945,0.270338,0.342333,0.210306,5.03585e-07
ENSG00000014164.6|Thyroid,ENSG00000014164.6,Thyroid,10444,LUMPY_DEL_168969,-0.745592,0.00133396,0.0865883410321101,SV,NONCODING,SV,LUMPY_DEL_168969,2.66957e-08,25,0.025534,0.357979,0.383513,0.0665792,6.81648e-10
ENSG00000014164.6|Whole_Blood,ENSG00000014164.6,Whole_Blood,-20061,LUMPY_BND_168968_1,0.471045,0.00098479,0.0562655978846154,SV,NONCODING,SV,LUMPY_BND_168968_1,1.92769e-15,88,0.00335275,0.316104,0.319457,0.0104952,6.46306e-18
ENSG00000015475.14|Artery_Tibial,ENSG00000015475.14,Artery_Tibial,-112909,LUMPY_DEL_137601,-0.64573,0.000817605,0.0633212220186335,SV,NONCODING,SV,LUMPY_DEL_137601,0.00288277,52,0.00623634,0.397507,0.403743,0.0154463,1.79779e-05
ENSG00000018236.10|Skin_Sun_Exposed_Lower_leg,ENSG00000018236.10,Skin_Sun_Exposed_Lower_leg,57106,LUMPY_DEL_108710,-0.713811,6.44146e-07,0.000191745460391304,SV,NONCODING,SV,LUMPY_DEL_108710,1.90167e-15,57,0.307263,0.330733,0.637996,0.481606,5.84313e-16
ENSG00000022277.8|Heart_Left_Ventricle,ENSG00000022277.8,Heart_Left_Ventricle,-580110,LUMPY_MEI_136174,-0.480798,0.000528893,0.083710196462585,SV,NONCODING,SV,LUMPY_MEI_136174,0.0018257,48,-0.0194932,0.569563,0.569564,1.75573e-06,0.0
ENSG00000022556.11|Whole_Blood,ENSG00000022556.11,Whole_Blood,11233,LUMPY_DUP_179613,-0.820138,0.000140529,0.0113996357406143,SV,CODING,SV,LUMPY_DUP_179613,0.000322383,12,0.0720224,0.43987,0.511892,0.140698,2.32188e-05
ENSG00000023191.12|Esophagus_Muscularis,ENSG00000023191.12,Esophagus_Muscularis,-31810,LUMPY_DUP_176951,-0.553893,0.000585974,0.05368986775,SV,NONCODING,SV,LUMPY_DUP_176951,0.213052,1,0.115943,0.459293,0.575236,0.201557,0.0247019
ENSG00000023228.9|Cells_Transformed_fibroblasts,ENSG00000023228.9,Cells_Transformed_fibroblasts,-894125,LUMPY_DEL_133512,-0.750121,0.000156979,0.0099060903538874,SV,NONCODING,SV,LUMPY_DEL_133512,1.39115e-15,101,0.0968858,0.233243,0.330129,0.293479,1.34783e-16
ENSG00000024048.6|Cells_Transformed_fibroblasts,ENSG00000024048.6,Cells_Transformed_fibroblasts,37825,LUMPY_DEL_156537,0.306456,0.00142443,0.0584115563414634,SV,NONCODING,SV,LUMPY_DEL_156537,0.0141317,19,0.0584789,0.187763,0.246242,0.237486,0.000826406
ENSG00000026297.11|Cells_Transformed_fibroblasts,ENSG00000026297.11,Cells_Transformed_fibroblasts,117398,LUMPY_DEL_159912,0.568519,1.1173e-05,0.000992415373584906,SV,NONCODING,SV,LUMPY_DEL_159912,4.32558e-09,101,0.0280363,0.30186,0.329896,0.0849852,1.21273e-10
ENSG00000026297.11|Esophagus_Mucosa,ENSG00000026297.11,Esophagus_Mucosa,47438,LUMPY_DEL_159908,0.639202,8.90578e-05,0.0106528110485981,SV,NONCODING,SV,LUMPY_DEL_159908,1.15815e-05,38,0.0454896,0.492188,0.537678,0.0846039,5.26838e-07
ENSG00000026297.11|Whole_Blood,ENSG00000026297.11,Whole_Blood,117398,LUMPY_DEL_159912,-0.34807,4.27515e-06,0.00052377198556701,SV,NONCODING,SV,LUMPY_DEL_159912,2.46346e-12,101,-0.0290464,0.337535,0.337536,2.96265e-06,0.0
ENSG00000030304.8|Lung,ENSG00000030304.8,Lung,-401082,LUMPY_BND_183925_1,-0.548739,0.00136299,0.0790339088957055,SV,NONCODING,SV,LUMPY_BND_183925_1,0.0119933,12,0.0496693,0.380618,0.430287,0.115433,0.000595699
ENSG00000032742.13|Adipose_Subcutaneous,ENSG00000032742.13,Adipose_Subcutaneous,-15829,LUMPY_DEL_111318,0.886607,0.000651483,0.0571611831895425,SV,NONCODING,SV,LUMPY_DEL_111318,0.000127648,101,0.0553021,0.62749,0.682792,0.0809941,7.0592e-06
ENSG00000032742.13|Whole_Blood,ENSG00000032742.13,Whole_Blood,-15829,LUMPY_DEL_111318,0.901293,4.45131e-06,0.000541655829035533,SV,NONCODING,SV,LUMPY_DEL_111318,6.19409e-05,55,0.0302288,0.455621,0.48585,0.0622184,1.8724e-06
ENSG00000035115.17|Esophagus_Mucosa,ENSG00000035115.17,Esophagus_Mucosa,29982,LUMPY_DEL_127759,-1.11615,5.83621e-08,2.01885545378378e-05,SV,NONCODING,SV,LUMPY_DEL_127759,1.85505e-25,50,0.197934,0.075277,0.273211,0.724473,3.67177e-26
ENSG00000035115.17|Esophagus_Muscularis,ENSG00000035115.17,Esophagus_Muscularis,29982,LUMPY_DEL_127759,0.619253,0.000561359,0.0520081375390335,SV,NONCODING,SV,LUMPY_DEL_127759,0.000735333,101,0.115035,0.130118,0.245153,0.469238,8.4589e-05
ENSG00000035115.17|Skin_Sun_Exposed_Lower_leg,ENSG00000035115.17,Skin_Sun_Exposed_Lower_leg,29982,LUMPY_DEL_127759,-0.853782,4.54077e-06,0.00111029935017857,SV,NONCODING,SV,LUMPY_DEL_127759,0.000678663,33,0.154703,0.184821,0.339524,0.455647,0.000104991
ENSG00000035115.17|Thyroid,ENSG00000035115.17,Thyroid,29982,LUMPY_DEL_127759,-0.549036,1.47745e-05,0.00228379675,SV,NONCODING,SV,LUMPY_DEL_127759,0.000217989,48,0.167845,0.152645,0.32049,0.523714,3.65884e-05
ENSG00000035115.17|Whole_Blood,ENSG00000035115.17,Whole_Blood,29982,LUMPY_DEL_127759,-0.713325,4.1603e-07,6.46287649673203e-05,SV,NONCODING,SV,LUMPY_DEL_127759,0.027355,10,0.131262,0.045918,0.17718,0.74084,0.00359067
ENSG00000038210.9|Thyroid,ENSG00000038210.9,Thyroid,78789,LUMPY_DEL_145243,-0.380578,0.00148688,0.0923408279028698,SV,NONCODING,SV,LUMPY_DEL_145243,0.0105117,28,0.077147,0.47676,0.553907,0.139278,0.000810946
ENSG00000038274.12|Thyroid,ENSG00000038274.12,Thyroid,-66829,LUMPY_DEL_154558,0.423354,0.00136273,0.087528956826484,SV,NONCODING,SV,LUMPY_DEL_154558,0.0343734,7,0.0936132,0.219679,0.313292,0.298805,0.0032178
ENSG00000043143.16|Muscle_Skeletal,ENSG00000043143.16,Muscle_Skeletal,-28460,LUMPY_BND_182042_1,0.849089,0.001476,0.08735706,SV,NONCODING,SV,LUMPY_BND_182042_1,0.0555406,1,0.102193,0.250691,0.352884,0.289594,0.00567586
ENSG00000044459.10|Cells_Transformed_fibroblasts,ENSG00000044459.10,Cells_Transformed_fibroblasts,142077,LUMPY_DEL_169530,0.340907,0.000637164,0.0307958238850103,SV,NONCODING,SV,LUMPY_DEL_169530,1.36571e-06,101,0.0313204,0.518984,0.550304,0.0569147,4.27746e-08
ENSG00000044459.10|Esophagus_Muscularis,ENSG00000044459.10,Esophagus_Muscularis,142077,LUMPY_DEL_169530,0.74163,0.000349898,0.0355924814530612,SV,NONCODING,SV,LUMPY_DEL_169530,0.000404544,101,0.015951,0.383645,0.399596,0.0399178,6.45288e-06
ENSG00000047188.11|Lung,ENSG00000047188.11,Lung,32050,LUMPY_MEI_153139,0.284669,0.000513177,0.037406513714653,SV,NONCODING,SV,LUMPY_MEI_153139,6.90776e-06,101,0.0313463,0.127988,0.159334,0.196733,2.16533e-07
ENSG00000047188.11|Whole_Blood,ENSG00000047188.11,Whole_Blood,32050,LUMPY_MEI_153139,0.214396,0.00110374,0.0611507979487179,SV,NONCODING,SV,LUMPY_MEI_153139,0.0186378,11,0.0403807,0.18237,0.222751,0.181282,0.000752607
ENSG00000047936.6|Cells_Transformed_fibroblasts,ENSG00000047936.6,Cells_Transformed_fibroblasts,51610,LUMPY_DUP_182555,-0.411413,0.000247923,0.0142496181512195,SV,NONCODING,SV,LUMPY_DUP_182555,0.0113625,15,0.101388,0.12598,0.227368,0.44592,0.00115202
ENSG00000048649.9|Cells_Transformed_fibroblasts,ENSG00000048649.9,Cells_Transformed_fibroblasts,-128475,LUMPY_MEI_105773,-0.242061,0.00149935,0.0603018656313993,SV,NONCODING,SV,LUMPY_MEI_105773,0.00873043,43,0.101044,0.250575,0.351619,0.287368,0.000882158
ENSG00000048649.9|Esophagus_Mucosa,ENSG00000048649.9,Esophagus_Mucosa,-12185,LUMPY_MEI_105774,-0.397674,0.00106805,0.0729065170666667,SV,NONCODING,SV,LUMPY_MEI_105774,0.00761225,43,0.0740074,0.201384,0.275391,0.268735,0.000563363
ENSG00000048649.9|Esophagus_Muscularis,ENSG00000048649.9,Esophagus_Muscularis,-128475,LUMPY_MEI_105773,-0.396125,2.07729e-05,0.00322317309565217,SV,NONCODING,SV,LUMPY_MEI_105773,0.00852839,35,0.102899,0.233487,0.336386,0.305896,0.000877563
ENSG00000050130.13|Cells_Transformed_fibroblasts,ENSG00000050130.13,Cells_Transformed_fibroblasts,-67114,LUMPY_DEL_115249,-0.306569,0.000209543,0.0125501860916031,SV,NONCODING,SV,LUMPY_DEL_115249,0.000135952,101,-0.0280996,0.314846,0.314847,3.17615e-06,0.0
ENSG00000050327.10|Cells_Transformed_fibroblasts,ENSG00000050327.10,Cells_Transformed_fibroblasts,-97874,GS_MIXED_CNV_7_143951981_143954507,0.148011,6.36956e-05,0.00461312933169231,SV,NONCODING,SV,GS_MIXED_CNV_7_143951981_143954507,0.0758055,3,0.208888,0.418724,0.627612,0.33283,0.0158349
ENSG00000050327.10|Esophagus_Mucosa,ENSG00000050327.10,Esophagus_Mucosa,-97874,GS_MIXED_CNV_7_143951981_143954507,0.0980962,0.000127846,0.014045501751073,SV,NONCODING,SV,GS_MIXED_CNV_7_143951981_143954507,0.611179,1,0.20753,0.281808,0.489338,0.424104,0.126838
ENSG00000050327.10|Lung,ENSG00000050327.10,Lung,-97874,GS_MIXED_CNV_7_143951981_143954507,0.0936954,0.000807614,0.0528012567165899,SV,NONCODING,SV,GS_MIXED_CNV_7_143951981_143954507,0.0875435,1,0.106951,0.260481,0.367432,0.291077,0.00936286
ENSG00000050820.12|Esophagus_Mucosa,ENSG00000050820.12,Esophagus_Mucosa,127938,LUMPY_DEL_120911,-0.512487,0.000589769,0.0477750217151899,SV,NONCODING,SV,LUMPY_DEL_120911,0.00417454,101,0.013284,0.211878,0.225162,0.0589975,5.54546e-05
ENSG00000052749.9|Heart_Left_Ventricle,ENSG00000052749.9,Heart_Left_Ventricle,-52519,LUMPY_MEI_102340,0.552596,1.71525e-05,0.00561635661971831,SV,NONCODING,SV,LUMPY_MEI_102340,5.09797e-14,101,0.213911,0.244841,0.458752,0.466289,1.09051e-14
ENSG00000052749.9|Muscle_Skeletal,ENSG00000052749.9,Muscle_Skeletal,-52519,LUMPY_MEI_102340,0.356994,3.69109e-06,0.000624163319,SV,NONCODING,SV,LUMPY_MEI_102340,1.27351e-07,101,0.173263,0.297519,0.470782,0.368032,2.20652e-08
ENSG00000052749.9|Whole_Blood,ENSG00000052749.9,Whole_Blood,-52519,LUMPY_MEI_102340,0.272657,1.62274e-05,0.00166246915172414,SV,NONCODING,SV,LUMPY_MEI_102340,0.000282145,101,0.0780474,0.359746,0.437793,0.178275,2.20207e-05
ENSG00000053108.12|Esophagus_Mucosa,ENSG00000053108.12,Esophagus_Mucosa,-23265,LUMPY_MEI_153705,-1.06238,1.87377e-13,2.398238223e-10,SV,CODING,SV,LUMPY_MEI_153705,0.954307,1,0.422861,0.205051,0.627912,0.67344,0.403539
ENSG00000053900.6|Artery_Aorta,ENSG00000053900.6,Artery_Aorta,-137645,LUMPY_DEL_145243,-0.554289,0.000923688,0.0951130348879668,SV,NONCODING,SV,LUMPY_DEL_145243,5.42238e-06,101,-0.0384463,0.546385,0.546386,1.83021e-06,0.0
ENSG00000053900.6|Artery_Tibial,ENSG00000053900.6,Artery_Tibial,-137645,LUMPY_DEL_145243,-0.511309,2.96933e-06,0.000560978420757576,SV,NONCODING,SV,LUMPY_DEL_145243,5.63872e-08,101,-0.0153622,0.227715,0.227716,4.39143e-06,0.0
ENSG00000053900.6|Cells_Transformed_fibroblasts,ENSG00000053900.6,Cells_Transformed_fibroblasts,-137645,LUMPY_DEL_145243,-0.510957,3.55881e-06,0.000359516179313305,SV,NONCODING,SV,LUMPY_DEL_145243,1.27757e-05,101,0.00927282,0.354932,0.364205,0.0254605,1.18467e-07
ENSG00000053900.6|Esophagus_Muscularis,ENSG00000053900.6,Esophagus_Muscularis,-137645,LUMPY_DEL_145243,-0.571238,1.05402e-05,0.00187630617428571,SV,NONCODING,SV,LUMPY_DEL_145243,5.91416e-07,101,-0.0233514,0.533584,0.533585,1.87412e-06,0.0
ENSG00000053900.6|Lung,ENSG00000053900.6,Lung,-137645,LUMPY_DEL_145243,-0.253084,0.000686154,0.0469949194927536,SV,NONCODING,SV,LUMPY_DEL_145243,0.000200105,101,0.00664856,0.851557,0.858206,0.00774705,1.33041e-06
ENSG00000053900.6|Muscle_Skeletal,ENSG00000053900.6,Muscle_Skeletal,-137645,LUMPY_DEL_145243,-0.493992,4.1924e-06,0.000694062081118881,SV,NONCODING,SV,LUMPY_DEL_145243,1.21401e-10,101,-0.028347,0.461228,0.461229,2.16812e-06,0.0
ENSG00000053900.6|Nerve_Tibial,ENSG00000053900.6,Nerve_Tibial,-137645,LUMPY_DEL_145243,-0.454963,7.64432e-05,0.0125531635736527,SV,NONCODING,SV,LUMPY_DEL_145243,7.81903e-09,95,0.0167674,0.548518,0.565285,0.0296618,1.31105e-10
ENSG00000053900.6|Skin_Sun_Exposed_Lower_leg,ENSG00000053900.6,Skin_Sun_Exposed_Lower_leg,-137645,LUMPY_DEL_145243,-0.449382,0.000103859,0.0143650635050505,SV,NONCODING,SV,LUMPY_DEL_145243,2.52099e-07,101,-0.0273273,0.332437,0.332438,3.00808e-06,0.0
ENSG00000053900.6|Thyroid,ENSG00000053900.6,Thyroid,-137645,LUMPY_DEL_145243,-0.472058,1.69736e-06,0.000356356931940299,SV,NONCODING,SV,LUMPY_DEL_145243,1.32634e-06,101,0.052843,0.192656,0.245499,0.215247,7.00878e-08
ENSG00000054219.9|Adipose_Subcutaneous,ENSG00000054219.9,Adipose_Subcutaneous,95747,LUMPY_MEI_132249,0.727807,6.48751e-05,0.00898018222783505,SV,NONCODING,SV,LUMPY_MEI_132249,2.40261e-07,101,0.0883642,0.218951,0.307315,0.287536,2.12305e-08
ENSG00000054219.9|Lung,ENSG00000054219.9,Lung,95747,LUMPY_MEI_132249,0.507652,0.00112745,0.0686294219486081,SV,NONCODING,SV,LUMPY_MEI_132249,1.18225e-11,101,0.0716989,0.197204,0.268903,0.266635,8.4766e-13
